排名,学校名称,国家,总分
311,科罗拉多州立大学,美国,-
312,马德里康普顿斯大学,西班牙,-
313,达尔豪斯大学,加拿大,-
314,达特茅斯学院,美国,-
315,里昂高等师范学校,法国,-
316,埃因霍温工业大学,荷兰,-
317,佛罗里达州立大学,美国,-
318,福建医科大学,中国,-
319,福州大学,中国,-
320,乔治华盛顿大学,美国,-
321,格里菲思大学,澳大利亚,-
322,广东工业大学,中国,-
323,广西大学,中国,-
324,广州医科大学,中国,-
325,河南大学,中国,-
326,江南大学,中国,-
327,江苏大学,中国,-
328,暨南大学,中国,-
329,卡尔斯鲁厄理工学院,德国,-
330,昆明理工大学,中国,-
331,庆熙大学,韩国,-
332,乐卓博大学,澳大利亚,-
333,兰卡斯特大学,英国,-
334,拉瓦尔大学,加拿大,-
335,林雪平大学,瑞典,-
336,马斯特里赫特大学,荷兰,-
337,南昌大学,中国,-
338,南京工业大学,中国,-
339,南京信息工程大学,中国,-
340,南京邮电大学,中国,-
341,中国海洋大学,中国,-
342,图卢兹第三大学,法国,-
343,浦项理工大学,韩国,-
344,米兰理工大学,意大利,-
345,庞培法布拉大学,西班牙,-
346,努拉·宾特·阿卜杜勒·拉赫曼公主大学,沙特阿拉伯,-
347,青岛大学,中国,-
348,贝尔法斯特女王大学,英国,-
349,昆士兰科技大学,澳大利亚,-
350,中国人民大学,中国,-
351,皇家墨尔本理工大学,澳大利亚,-
352,上海科技大学,中国,-
353,华南农业大学,中国,-
354,西南交通大学,中国,-
355,纽约州立大学-石溪,美国,-
356,佐治亚大学,美国,-
357,蔚山科学技术院,韩国,-
358,科克大学,爱尔兰,-
359,都柏林大学学院,爱尔兰,-
360,阿拉巴马大学-伯明翰,美国,-
361,安特卫普大学,比利时,-
362,辛辛那提大学,美国,-
363,杜伊斯堡-埃森大学,德国,-
364,邓迪大学,英国,-
365,东英吉利大学,英国,-
366,佛罗伦萨大学,意大利,-
367,热那亚大学,意大利,-
368,格拉纳达大学,西班牙,-
369,夏威夷大学-马诺阿,美国,-
370,爱荷华大学,美国,-
371,堪萨斯大学-劳伦斯,美国,-
372,肯塔基大学,美国,-
373,莱斯特大学,英国,-
374,澳门大学,中国澳门,-
375,曼尼托巴大学,加拿大,-
376,马尔堡大学,德国,-
377,迈阿密大学,美国,-
378,米兰比可卡大学,意大利,-
379,内布拉斯加大学-林肯,美国,-
380,圣母大学,美国,-
381,波茨坦大学,德国,-
382,上海理工大学,中国,-
383,南丹麦大学,丹麦,-
384,圣安德鲁斯大学,英国,-
385,斯图加特大学,德国,-
386,塔斯马尼亚大学,澳大利亚,-
387,巴斯克大学,西班牙,-
388,特伦托大学,意大利,-
389,乌尔姆大学,德国,-
390,维多利亚大学（加拿大）,加拿大,-
391,伍伦贡大学,澳大利亚,-
392,弗吉尼亚联邦（州立）大学,美国,-
393,布鲁塞尔自由大学（佛兰德语）,比利时,-
394,西悉尼大学,澳大利亚,-
395,韦仕敦大学,加拿大,-
396,西湖大学,中国,-
397,西安电子科技大学,中国,-
398,扬州大学,中国,-
399,云南大学,中国,-
400,浙江工业大学,中国,-
401,阿尔托大学,芬兰,-
402,安徽医科大学,中国,-
403,开罗大学,埃及,-
404,圣心天主教大学,意大利,-
405,中国医药大学,中国台湾,-
406,中国地质大学（北京）,中国,-
407,中国矿业大学,中国,-
408,纽约城市大学研究生院和大学中心,美国,-
409,东华大学,中国,-
410,弗林德斯大学,澳大利亚,-
411,福建农林大学,中国,-
412,乔治城大学,美国,-
413,广州大学,中国,-
414,贵州大学,中国,-
415,海南大学,中国,-
416,汉诺威医学院,德国,-
417,合肥工业大学,中国,-
418,广岛大学,日本,-
419,河海大学,中国,-
420,印第安纳大学-印第安纳波利斯,美国,-
421,爱荷华州立大学,美国,-
422,詹姆斯库克大学,澳大利亚,-
423,哈立德国王大学,沙特阿拉伯,-
424,庆北大学,韩国,-
425,汉诺威大学,德国,-
426,路易斯安娜州立大学-巴吞鲁日,美国,-
427,澳门科技大学,中国澳门,-
428,马萨里克大学,捷克,-
429,格拉茨医科大学,奥地利,-
430,因斯布鲁克医科大学,奥地利,-
431,南京师范大学,中国,-
432,南京中医药大学,中国,-
433,台湾成功大学,中国台湾,-
434,台湾清华大学,中国台湾,-
435,中国人民解放军国防科技大学,中国,-
436,台湾阳明交通大学,中国台湾,-
437,宁波大学,中国,-
438,西北大学（西安）,中国,-
439,冲绳科学技术大学院大学,日本,-
440,大阪公立大学,日本,-
441,瓦伦西亚理工大学,西班牙,-
442,釜山大学,韩国,-
443,萨尔大学,德国,-
444,圣保罗州立大学,巴西,-
445,世宗大学,韩国,-
446,西蒙菲莎大学,加拿大,-
447,华南师范大学,中国,-
448,西南大学,中国,-
449,圣彼得堡国立大学,俄罗斯,-
450,斯坦陵布什大学,南非,-
451,瑞典农业科学大学,瑞典,-
452,达姆施塔特工业大学,德国,-
453,德黑兰医科大学,伊朗,-
454,天普大学,美国,-
455,香港中文大学（深圳）,中国,-
456,纽卡斯尔大学（澳大利亚纽卡斯尔）,澳大利亚,-
457,雷丁大学,英国,-
458,德克萨斯大学-达拉斯,美国,-
459,图卢兹第一大学,法国,-
460,于默奥大学,瑞典,-
461,阿威罗大学,葡萄牙,-
462,巴里大学,意大利,-
463,巴思大学,英国,-
464,拜罗伊特大学,德国,-
465,贝尔格莱德大学,塞尔维亚,-
466,坎皮纳斯州立大学,巴西,-
467,坎特伯雷大学,新西兰,-
468,中佛罗里达大学,美国,-
469,蔚蓝海岸大学,法国,-
470,艾塞克斯大学,英国,-
471,伊利诺大学-芝加哥,美国,-
472,耶拿大学,德国,-
473,肯特大学,英国,-
474,康斯坦茨大学,德国,-
475,列日大学,比利时,-
476,里尔大学,法国,-
477,马里兰大学-巴尔的摩,美国,-
478,俄克拉荷马大学-诺曼,美国,-
479,奥塔哥大学,新西兰,-
480,奥卢大学,芬兰,-
481,帕维亚大学,意大利,-
482,雷根斯堡大学,德国,-
483,雷恩大学,法国,-
484,罗马第二大学,意大利,-
485,萨斯喀彻温大学,加拿大,-
486,塞维利亚大学,西班牙,-
487,南澳大学,澳大利亚,-
488,南卡罗来纳大学-哥伦比亚,美国,-
489,南佛罗里达大学,美国,-
490,萨里大学,英国,-
491,塞格德大学,匈牙利,-
492,德黑兰大学,伊朗,-
493,图尔库大学,芬兰,-
494,佛蒙特大学,美国,-
495,维罗纳大学,意大利,-
496,华沙大学,波兰,-
497,惠灵顿维多利亚大学,新西兰,-
498,圣拉斐尔生命健康大学,意大利,-
499,华盛顿州立大学-普尔曼,美国,-
500,温州医科大学,中国,-
501,亚历山大大学,埃及,-
502,塞萨洛尼基亚里士多德大学,希腊,-
503,奥本大学,美国,-
504,威尔士班戈大学,英国,-
505,巴依兰大学,以色列,-
506,北京交通大学,中国,-
507,波士顿学院,美国,-
508,卡尔顿大学,加拿大,-
509,华中师范大学,中国,-
510,常州大学,中国,-
511,中国石油大学（北京）,中国,-
512,重庆医科大学,中国,-
513,德雷塞尔大学,美国,-
514,罗兰大学,匈牙利,-
515,米纳斯吉拉斯联邦大学,巴西,-
516,里约热内卢联邦大学,巴西,-
517,福建师范大学,中国,-
518,杭州电子科技大学,中国,-
519,杭州师范大学,中国,-
520,哈尔滨工程大学,中国,-
521,河北大学,中国,-
522,河北工业大学,中国,-
523,印度科学理工学院,印度,-
524,伊斯坦布尔大学,土耳其,-
525,克拉科夫雅盖隆大学,波兰,-
526,江苏科技大学,中国,-
527,阿卜杜勒阿齐兹国王大学,沙特阿拉伯,-
528,神户大学,日本,-
529,威斯康星医学院,美国,-
530,南卡罗来纳医科大学,美国,-
531,默多克大学,澳大利亚,-
532,南京林业大学,中国,-
533,雅典大学,希腊,-
534,墨西哥国立理工学院,墨西哥,-
535,台湾中山大学,中国台湾,-
536,华北电力大学,中国,-
537,东北农业大学,中国,-
538,东北师范大学,中国,-
539,北亚利桑那大学,美国,-
540,冈山大学,日本,-
541,智利天主教大学,智利,-
542,卡塔尔大学,卡塔尔,-
543,圣路易斯大学,美国,-
544,圣地亚哥州立大学,美国,-
545,陕西师范大学,中国,-
546,山东农业大学,中国,-
547,山东科技大学,中国,-
548,山西大学,中国,-
549,坦佩雷大学,芬兰,-
550,得克萨斯理工大学,美国,-
551,纽约市立大学-城市学院,美国,-
552,新墨西哥大学-阿尔伯克基,美国,-
553,德克萨斯大学卫生科学中心-圣安东尼奥,美国,-
554,德克萨斯大学医学部-加尔维斯顿,美国,-
555,天津医科大学,中国,-
556,杜兰大学,美国,-
557,特罗姆瑟大学,挪威,-
558,纽约州立大学-布法罗,美国,-
559,阿肯色大学-菲耶特维勒,美国,-
560,不来梅大学,德国,-
561,加州大学-默塞德,美国,-
562,那不勒斯第二大学,意大利,-
563,卡塔尼亚大学,意大利,-
564,智利大学,智利,-
565,科英布拉大学,葡萄牙,-
566,弗里堡大学,瑞士,-
567,爱尔兰国立大学高威,爱尔兰,-
568,吉森大学,德国,-
569,圭尔夫大学,加拿大,-
570,哈勒-维滕贝格大学,德国,-
571,约翰内斯堡大学,南非,-
572,卢布尔雅那大学,斯洛文尼亚,-
573,吕贝克大学,德国,-
574,缅因大学-奥罗诺,美国,-
575,米尼奥大学,葡萄牙,-
576,南特大学,法国,-
577,纳瓦拉大学,西班牙,-
578,内华达大学-拉斯维加斯,美国,-
579,内华达大学-里诺,美国,-
580,俄勒冈大学,美国,-
581,帕尔玛大学,意大利,-
582,佩鲁贾大学,意大利,-
583,比勒陀利亚大学,南非,-
584,罗斯托克大学,德国,-
585,西班牙萨拉曼卡大学,西班牙,-
586,圣地亚哥德孔波斯特拉大学,西班牙,-
587,塔尔图大学,爱沙尼亚,-
588,特文特大学,荷兰,-
589,蔚山大学,韩国,-
590,萨拉戈萨大学,西班牙,-
591,犹他州立大学,美国,-
592,印度韦洛尔科技大学,印度,-
593,威尔纽斯大学,立陶宛,-
594,维克森林大学,美国,-
595,温州大学,中国,-
596,西弗吉尼亚大学,美国,-
597,西安理工大学,中国,-
598,燕山大学,中国,-
599,韩国岭南大学,韩国,-
600,浙江理工大学,中国,-
601,亚的斯亚贝巴大学,埃塞俄比亚,-
602,艾因夏姆斯大学,埃及,-
603,中国人民解放军空军军医大学,中国,-
604,澳大利亚天主教大学,澳大利亚,-
605,贝勒大学,美国,-
606,北京林业大学,中国,-
607,北京工商大学,中国,-
608,纽约州立大学宾汉姆顿大学,美国,-
609,布雷西亚大学,意大利,-
610,布鲁内尔大学,英国,-
611,长庚大学,中国台湾,-
612,长安大学,中国,-
613,成都理工大学,中国,-
614,千叶大学,日本,-
615,中国医科大学,中国,-
616,中国矿业大学（北京）,中国,-
617,全南大学,韩国,-
618,朱拉隆功大学,泰国,-
619,克莱姆森大学,美国,-
620,科罗拉多矿业大学,美国,-
621,肯考迪娅大学,加拿大,-
622,大连海事大学,中国,-
623,梨花女子大学,韩国,-
624,南大河州联邦大学,巴西,-
625,圣卡塔琳娜州联邦大学,巴西,-
626,佛罗里达国际大学,美国,-
627,佐治亚州立大学,美国,-
628,格拉茨技术大学,奥地利,-
629,河南科技大学,中国,-
630,霍米·巴巴国立学院,印度,-
631,香港浸会大学,中国香港,-
632,湖南师范大学,中国,-
633,印度理工学院-德里,印度,-
634,印度理工学院-坎普尔,印度,-
635,仁荷大学,韩国,-
636,堪萨斯州立大学,美国,-
637,哈立法大学,阿联酋,-
638,兰州理工大学,中国,-
639,黎巴嫩美国大学,黎巴嫩,-
640,利物浦约翰摩尔斯大学,英国,-
641,玛希隆大学,泰国,-
642,曼彻斯特城市大学,英国,-
643,曼苏尔大学,埃及,-
644,马尔凯理工大学,意大利,-
645,密西西比州立大学,美国,-
646,莫斯科物理技术学院,俄罗斯,-
647,南通大学,中国,-
648,中国人民解放军海军军医大学,中国,-
649,东北林业大学,中国,-
650,马德里理工大学,西班牙,-
651,都灵理工大学,意大利,-
652,齐鲁工业大学,中国,-
653,青岛科技大学,中国,-
654,伦斯勒理工学院,美国,-
655,拉什大学,美国,-
656,萨维沙大学,印度,-
657,塞梅维什大学,匈牙利,-
658,山东第一医科大学,中国,-
659,上海师范大学,中国,-
660,上海海洋大学,中国,-
661,西南石油大学,中国,-
662,塔伊夫大学,沙特阿拉伯,-
663,太原理工大学,中国,-
664,布伦瑞克工业大学,德国,-
665,多特蒙德工业大学,德国,-
666,托马斯杰斐逊大学,美国,-
667,提契诺大学,瑞士,-
668,阿利坎特大学,西班牙,-
669,奥格斯堡大学,德国,-
670,勃艮第-欧洲大学,法国,-
671,德里大学,印度,-
672,东芬兰大学,芬兰,-
