排名,学校名称,国家,总分
788,魁北克大学-蒙特利尔,加拿大,-
789,马来西亚理科大学,马来西亚,-
790,谢布鲁克大学,加拿大,-
791,南华大学,中国,-
792,斯特灵大学,英国,-
793,斯特拉思克莱德大学,英国,-
794,巴利阿里群岛大学,西班牙,-
795,旁遮普大学（巴基斯坦）,巴基斯坦,-
796,早稻田大学,日本,-
797,武汉工程大学,中国,-
798,武汉科技大学,中国,-
799,湘潭大学,中国,-
800,徐州医科大学,中国,-
801,波兰克拉科夫AGH科技大学,波兰,-
802,安徽师范大学,中国,-
803,奥古斯塔大学,美国,-
804,伦敦大学伯贝克学院,英国,-
805,布鲁克大学,加拿大,-
806,布达佩斯技术与经济大学,匈牙利,-
807,首都师范大学,中国,-
808,中央财经大学,中国,-
809,长沙理工大学,中国,-
810,成都大学,中国,-
811,清迈大学,泰国,-
812,克兰菲尔德大学,英国,-
813,捷克技术大学,捷克,-
814,捷克生命科学大学,捷克,-
815,东莞理工学院,中国,-
816,埃迪斯科文大学,澳大利亚,-
817,爱琴海大学,土耳其,-
818,圣卡洛斯联邦大学,巴西,-
819,维索萨联邦大学,巴西,-
820,广西医科大学,中国,-
821,广州中医药大学,中国,-
822,黑龙江大学,中国,-
823,俄罗斯国家研究型高等经济大学,俄罗斯,-
824,印度理工学院-孟买,印度,-
825,印度理工学院-卡哈拉格普尔,印度,-
826,印度理工学院-鲁尔基,印度,-
827,国立图卢兹应用科学学院,法国,-
828,伊斯坦布尔科技大学,土耳其,-
829,林茨大学,奥地利,-
830,金泽大学,日本,-
831,沙特费萨尔国王大学,沙特阿拉伯,-
832,建国大学,韩国,-
833,拉夫堡大学,英国,-
834,曼尼帕大学,印度,-
835,梅西大学,新西兰,-
836,梅努斯大学,爱尔兰,-
837,蒙大拿州立大学-勃兹曼,美国,-
838,长崎大学,日本,-
839,台湾中央大学,中国台湾,-
840,台湾中兴大学,中国台湾,-
841,哥伦比亚国立大学,哥伦比亚,-
842,新泽西理工学院,美国,-
843,纽约大学阿布扎比分校,阿联酋,-
844,华北水利水电大学,中国,-
845,中北大学,中国,-
846,诺丁汉特伦特大学,英国,-
847,俄亥俄大学-雅典,美国,-
848,欧道明大学,美国,-
849,巴里理工大学,意大利,-
850,卡西姆大学,沙特阿拉伯,-
851,青岛农业大学,中国,-
852,伦敦大学皇家霍洛威学院,英国,-
853,萨伊德比赫什蒂医科大学,伊朗,-
854,山东师范大学,中国,-
855,上海财经大学,中国,-
856,上海中医药大学,中国,-
857,谢里夫理工大学,伊朗,-
858,沈阳药科大学,中国,-
859,四川农业大学,中国,-
860,斯科尔科沃科学技术学院,俄罗斯,-
861,雪城大学,美国,-
862,台北医学大学,中国台湾,-
863,韩国天主教大学,韩国,-
864,香港教育大学,中国香港,-
865,综合研究大学院大学,日本,-
866,皇家兽医学院,英国,-
867,德克萨斯大学-埃尔帕索,美国,-
868,东京理科大学,日本,-
869,阿尔斯特大学,英国,-
870,安蒂奥基亚大学,哥伦比亚,-
871,卡利亚里大学,意大利,-
872,克里特大学,希腊,-
873,塞浦路斯大学,塞浦路斯,-
874,赫特福德大学,英国,-
875,赫尔大学,英国,-
876,哈恩大学,西班牙,-
877,卡塞尔大学,德国,-
878,莱里达大学,西班牙,-
879,马格德堡大学,德国,-
880,马拉加大学,西班牙,-
881,墨西拿大学,意大利,-
882,密苏里大学-堪萨斯,美国,-
883,摩德纳-雷焦·艾米里亚大学,意大利,-
884,内布拉斯加大学医学中心,美国,-
885,俄克拉何马大学健康科学中心,美国,-
886,普瓦捷大学,法国,-
887,罗德岛大学,美国,-
888,南非大学,南非,-
889,阳光海岸大学,澳大利亚,-
890,凡尔赛大学,法国,-
891,维戈大学,西班牙,-
892,威斯康星大学-密尔沃基,美国,-
893,博特拉大学,马来西亚,-
894,萨瓦大学,法国,-
895,乌拉尔联邦大学,俄罗斯,-
896,西交利物浦大学,中国,-
897,西安建筑科技大学,中国,-
898,长江大学,中国,-
899,烟台大学,中国,-
900,浙江农林大学,中国,-
901,波兹南密茨凯维奇大学,波兰,-
902,亚洲大学（水原）,韩国,-
903,沙特伊斯兰大学,沙特阿拉伯,-
904,阿默斯特学院,美国,-
905,安徽理工大学,中国,-
906,阿塔图尔克大学,土耳其,-
907,奥克兰理工大学,新西兰,-
908,贝拿勒斯印度教大学,印度,-
909,马德里卡洛斯三世大学,西班牙,-
910,成都中医药大学,中国,-
911,中国计量大学,中国,-
912,布拉迪斯拉发夸美纽斯大学,斯洛伐克,-
913,大连医科大学,中国,-
914,东国大学,韩国,-
915,巴伊亚联邦大学,巴西,-
916,塞阿拉联邦大学,巴西,-
917,佩洛塔斯联邦大学,巴西,-
918,伯南布哥州联邦大学,巴西,-
919,波尔扎诺自由大学,意大利,-
920,甘肃农业大学,中国,-
921,嘎子大学,土耳其,-
922,庆尚大学,韩国,-
923,海南医科大学,中国,-
924,汉堡-哈尔堡工业大学,德国,-
925,浙大城市学院,中国,-
926,杭州医学院,中国,-
927,哈桑二世卡萨布兰卡大学,摩洛哥,-
928,河北师范大学,中国,-
929,河南农业大学,中国,-
930,河南理工大学,中国,-
931,华侨大学,中国,-
932,湖南农业大学,中国,-
933,伊朗医科大学,伊朗,-
934,海梅一世大学,西班牙,-
935,吉赞大学,沙特阿拉伯,-
936,吉林农业大学,中国,-
937,顺天堂大学,日本,-
938,高雄医学大学,中国台湾,-
939,熊本大学,日本,-
940,昆明医科大学,中国,-
941,理海大学,美国,-
942,聊城大学,中国,-
943,岭南大学,中国香港,-
944,林奈大学,瑞典,-
945,芝加哥洛约拉大学,美国,-
946,马尔马拉大学,土耳其,-
947,密歇根理工大学,美国,-
948,南京财经大学,中国,-
949,哥白尼大学,波兰,-
950,宁夏大学,中国,-
951,北达科他州立大学,美国,-
952,新西伯利亚国立大学,俄罗斯,-
953,厄勒布鲁大学,瑞典,-
954,釜庆大学,韩国,-
955,爱尔兰皇家外科学院,爱尔兰,-
956,里约热内卢州立大学,巴西,-
957,罗马第三大学,意大利,-
958,罗格斯大学-纽瓦克,美国,-
959,陕西科技大学,中国,-
960,山东理工大学,中国,-
961,石河子大学,中国,-
962,西南医科大学,中国,-
963,西南科技大学,中国,-
964,太原科技大学,中国,-
965,巴哈瓦尔布尔伊斯兰大学,巴基斯坦,-
966,英国开放大学,英国,-
967,德岛大学,日本,-
968,东京农工大学,日本,-
969,乌尔库拉大学,沙特阿拉伯,-
970,阿拉斯加大学-费尔班克斯,美国,-
971,阿肯色大学医学院,美国,-
972,贝拉英特拉大学,葡萄牙,-
973,加的斯大学,西班牙,-
974,加尔各答大学,印度,-
975,卡斯蒂利亚拉曼查大学,西班牙,-
976,中央兰开夏大学,英国,-
977,基耶地-佩斯卡拉大学,意大利,-
978,科尔多瓦大学,西班牙,-
979,皮埃蒙特东方大学,意大利,-
980,加纳大学,加纳,-
981,赫罗纳大学,西班牙,-
982,霍恩海姆大学,德国,-
983,对外经济贸易大学,中国,-
984,拉合尔大学,巴基斯坦,-
985,加那利群岛拉斯帕尔马斯大学,西班牙,-
986,新不伦瑞克大学,加拿大,-
987,帕特雷大学,希腊,-
988,皮卡第儒勒-凡尔纳大学,法国,-
989,朴次茅斯大学,英国,-
990,里贾纳大学,加拿大,-
991,沙迦大学,阿联酋,-
992,田纳西大学健康科学中心,美国,-
993,温莎大学,加拿大,-
994,伍珀塔尔大学,德国,-
995,华沙理工大学,波兰,-
996,弗罗茨瓦夫理工大学,波兰,-
997,西安科技大学,中国,-
998,横滨市立大学,日本,-
999,扎加齐克大学,埃及,-
1000,中南财经政法大学,中国,-
